IP地址,端口,TLS,数据中心,下载速度(MB/s)
104.25.245.245,443,TRUE,HKG,27.57
104.25.242.75,443,TRUE,HKG,26.94
162.159.149.122,443,TRUE,LHR,25.02
104.25.241.234,443,TRUE,HKG,24.57
162.159.131.75,443,TRUE,LHR,23.44
104.21.94.183,443,TRUE,HKG,23.05
104.25.244.119,443,TRUE,HKG,21.17
162.159.139.103,443,TRUE,LHR,20.52
104.25.240.98,443,TRUE,HKG,19.95
104.18.89.28,443,TRUE,LHR,19.68
104.21.87.200,443,TRUE,HKG,18.60
162.159.132.181,443,TRUE,LHR,17.52
162.159.136.113,443,TRUE,LHR,14.46
162.159.138.30,443,TRUE,LHR,1.68
162.159.159.18,443,TRUE,LHR,1.43
162.159.144.184,443,TRUE,LHR,1.32
104.25.243.6,443,TRUE,HKG,0.68
162.159.140.53,443,TRUE,LHR,0.37
104.18.81.104,443,TRUE,LHR,0.36
130.61.203.115,8443,TRUE,FRA,11.60
138.3.220.4,2082,FALSE,NRT,11.59
141.147.162.204,8880,FALSE,NRT,11.59
158.101.152.221,2052,FALSE,NRT,11.58
131.186.61.45,80,FALSE,NRT,11.58
158.101.81.4,8080,FALSE,NRT,11.57
141.147.179.64,2087,TRUE,NRT,11.57
131.186.58.151,8080,FALSE,NRT,11.57
158.101.89.33,2095,FALSE,NRT,11.56
141.147.167.44,2083,TRUE,NRT,11.56
141.147.185.149,2095,FALSE,NRT,11.56
158.101.150.74,8443,TRUE,NRT,11.54
138.3.214.43,2086,FALSE,NRT,11.54
158.101.69.12,2052,FALSE,NRT,11.54
141.147.191.132,2095,FALSE,NRT,11.53
141.147.181.148,2053,TRUE,NRT,11.53
152.70.103.145,2087,TRUE,NRT,11.53
158.101.149.52,2082,FALSE,NRT,11.53
131.186.35.189,2096,TRUE,NRT,11.53
138.3.210.114,2095,FALSE,NRT,11.53
158.101.143.49,2095,FALSE,NRT,11.52
168.138.207.64,2087,TRUE,NRT,11.50
158.101.68.100,2052,FALSE,NRT,11.50
158.101.204.41,443,TRUE,FRA,11.49
131.186.44.38,80,FALSE,NRT,11.49
132.145.121.175,2087,TRUE,NRT,11.48
151.145.74.56,80,FALSE,NRT,11.48
141.147.168.159,8443,TRUE,NRT,11.48
138.3.223.50,8880,FALSE,NRT,11.47
158.101.95.113,2095,FALSE,NRT,11.47
138.3.216.67,2053,TRUE,NRT,11.47
132.145.112.168,2082,FALSE,NRT,11.46
132.145.121.123,8080,FALSE,NRT,11.46
152.70.106.195,80,FALSE,NRT,11.46
131.186.37.191,80,FALSE,NRT,11.43
151.145.68.104,2086,FALSE,NRT,11.41
132.145.123.159,2095,FALSE,NRT,11.40
158.101.146.165,2052,FALSE,NRT,11.39
150.230.21.156,443,TRUE,FRA,11.38
132.145.125.165,2095,FALSE,NRT,11.37
140.238.54.166,2096,TRUE,NRT,11.37
152.70.55.20,443,TRUE,FRA,11.37
141.147.166.95,80,FALSE,NRT,11.37
132.145.121.247,2086,FALSE,NRT,11.36
132.145.114.14,8880,FALSE,NRT,11.36
152.70.51.214,443,TRUE,FRA,11.36
158.101.84.123,2086,FALSE,NRT,11.35
140.238.46.138,2083,TRUE,NRT,11.35
158.101.149.122,2082,FALSE,NRT,11.34
150.230.22.53,443,TRUE,FRA,11.33
151.145.69.174,8443,TRUE,NRT,11.33
131.186.37.69,2052,FALSE,NRT,11.33
158.101.150.126,2087,TRUE,NRT,11.32
141.147.167.40,2087,TRUE,NRT,11.32
141.147.186.210,2052,FALSE,NRT,11.31
141.147.160.221,2087,TRUE,NRT,11.31
132.145.120.118,2053,TRUE,NRT,11.30
131.186.46.75,8443,TRUE,NRT,11.30
158.101.158.238,8443,TRUE,NRT,11.29
141.144.202.98,443,TRUE,FRA,11.29
158.101.139.42,2052,FALSE,NRT,11.28
158.101.140.154,2096,TRUE,NRT,11.28
