IP地址,端口,TLS,数据中心,下载速度(MB/s)
172.65.206.231,443,TRUE,N/A,0
104.21.17.40,443,TRUE,N/A,0
104.24.76.134,443,TRUE,N/A,0
172.67.93.65,443,TRUE,N/A,0
172.64.234.116,443,TRUE,N/A,0
172.67.177.235,443,TRUE,N/A,0
172.65.63.189,443,TRUE,N/A,0
172.65.237.119,443,TRUE,N/A,0
172.67.229.219,443,TRUE,N/A,0
162.159.137.65,443,TRUE,N/A,0
172.65.248.143,443,TRUE,N/A,0
172.67.97.23,443,TRUE,N/A,0
104.27.9.65,443,TRUE,N/A,0
172.65.255.121,443,TRUE,N/A,0
172.65.24.23,443,TRUE,N/A,0
172.65.174.37,443,TRUE,N/A,0
104.21.57.162,443,TRUE,N/A,0
172.65.176.137,443,TRUE,N/A,0
172.67.158.141,443,TRUE,N/A,0
172.65.245.222,443,TRUE,N/A,0
172.65.73.91,443,TRUE,N/A,0
104.21.88.132,443,TRUE,N/A,0
162.159.151.151,443,TRUE,N/A,0
172.65.204.29,443,TRUE,N/A,0
172.65.234.181,443,TRUE,N/A,0
172.65.11.172,443,TRUE,N/A,0
172.67.106.233,443,TRUE,N/A,0
104.21.83.102,443,TRUE,N/A,0
104.24.23.35,443,TRUE,N/A,0
162.159.143.172,443,TRUE,N/A,0
172.67.179.46,443,TRUE,N/A,0
104.21.56.22,443,TRUE,N/A,0
104.24.65.67,443,TRUE,N/A,0
104.24.73.189,443,TRUE,N/A,0
172.65.69.26,443,TRUE,N/A,0
172.67.102.29,443,TRUE,N/A,0
172.67.99.168,443,TRUE,N/A,0
172.65.182.12,443,TRUE,N/A,0
172.64.53.222,443,TRUE,N/A,0
172.65.117.36,443,TRUE,N/A,0
104.21.47.72,443,TRUE,N/A,0
104.21.18.47,443,TRUE,N/A,0
172.65.87.211,443,TRUE,N/A,0
172.67.220.0,443,TRUE,N/A,0
104.21.45.112,443,TRUE,N/A,0
104.21.11.53,443,TRUE,N/A,0
104.24.69.101,443,TRUE,N/A,0
172.67.237.118,443,TRUE,N/A,0
172.67.245.69,443,TRUE,N/A,0
104.24.18.99,443,TRUE,N/A,0
172.65.67.178,443,TRUE,N/A,0
104.21.22.89,443,TRUE,N/A,0
172.65.236.70,443,TRUE,N/A,0
172.67.95.177,443,TRUE,N/A,0
172.67.176.73,443,TRUE,N/A,0
104.21.89.216,443,TRUE,N/A,0
172.67.233.189,443,TRUE,N/A,0
172.65.186.144,443,TRUE,N/A,0
172.65.95.3,443,TRUE,N/A,0
104.27.127.112,443,TRUE,N/A,0
172.65.90.103,443,TRUE,N/A,0
172.65.79.123,443,TRUE,N/A,0
172.65.62.246,443,TRUE,N/A,0
104.21.50.95,443,TRUE,N/A,0
104.24.64.65,443,TRUE,N/A,0
172.65.171.27,443,TRUE,N/A,0
104.21.20.82,443,TRUE,N/A,0
162.159.62.79,443,TRUE,N/A,0
172.67.241.204,443,TRUE,N/A,0
172.65.86.242,443,TRUE,N/A,0
104.21.61.30,443,TRUE,N/A,0
104.24.53.115,443,TRUE,N/A,0
172.67.90.252,443,TRUE,N/A,0
172.67.244.180,443,TRUE,N/A,0
172.65.44.143,443,TRUE,N/A,0
172.65.18.78,443,TRUE,N/A,0
172.65.12.167,443,TRUE,N/A,0
104.27.106.172,443,TRUE,N/A,0
172.64.38.186,443,TRUE,N/A,0
172.67.123.230,443,TRUE,N/A,0
172.65.243.206,443,TRUE,N/A,0
104.24.66.209,443,TRUE,N/A,0
104.21.234.38,443,TRUE,N/A,0
104.21.90.37,443,TRUE,N/A,0
104.24.77.15,443,TRUE,N/A,0
172.67.103.200,443,TRUE,N/A,0
162.159.141.64,443,TRUE,N/A,0
104.27.121.177,443,TRUE,N/A,0
104.24.74.89,443,TRUE,N/A,0
172.67.230.27,443,TRUE,N/A,0
162.159.136.0,443,TRUE,N/A,0
172.65.29.148,443,TRUE,N/A,0
172.65.84.118,443,TRUE,N/A,0
172.66.212.20,443,TRUE,N/A,0
104.21.38.159,443,TRUE,N/A,0
172.67.89.156,443,TRUE,N/A,0
172.66.211.53,443,TRUE,N/A,0
104.21.8.17,443,TRUE,N/A,0
172.64.34.253,443,TRUE,N/A,0
172.64.48.53,443,TRUE,N/A,0
104.24.17.50,443,TRUE,N/A,0
172.67.178.114,443,TRUE,N/A,0
104.21.95.236,443,TRUE,N/A,0
104.27.49.85,443,TRUE,N/A,0
172.64.33.42,443,TRUE,N/A,0
172.67.132.174,443,TRUE,N/A,0
172.65.3.4,443,TRUE,N/A,0
104.24.71.92,443,TRUE,N/A,0
104.27.12.116,443,TRUE,N/A,0
172.67.127.229,443,TRUE,N/A,0
162.159.138.165,443,TRUE,N/A,0
172.65.148.60,443,TRUE,N/A,0
104.27.14.253,443,TRUE,N/A,0
172.66.214.207,443,TRUE,N/A,0
172.67.94.145,443,TRUE,N/A,0
172.67.122.98,443,TRUE,N/A,0
104.27.73.236,443,TRUE,N/A,0
172.67.164.238,443,TRUE,N/A,0
172.65.89.89,443,TRUE,N/A,0
172.67.159.145,443,TRUE,N/A,0
104.21.54.96,443,TRUE,N/A,0
162.159.146.241,443,TRUE,N/A,0
104.24.78.236,443,TRUE,N/A,0
104.24.20.248,443,TRUE,N/A,0
104.21.44.173,443,TRUE,N/A,0
104.24.19.230,443,TRUE,N/A,0
104.24.16.15,443,TRUE,N/A,0
104.21.19.103,443,TRUE,N/A,0
172.65.101.142,443,TRUE,N/A,0
172.65.114.210,443,TRUE,N/A,0
172.67.235.98,443,TRUE,N/A,0
172.65.93.91,443,TRUE,N/A,0
172.65.96.187,443,TRUE,N/A,0
172.67.225.235,443,TRUE,N/A,0
172.67.98.193,443,TRUE,N/A,0
172.67.239.229,443,TRUE,N/A,0
104.21.204.253,443,TRUE,N/A,0
172.66.208.127,443,TRUE,N/A,0
172.65.145.224,443,TRUE,N/A,0
162.159.95.219,443,TRUE,N/A,0
172.65.190.27,443,TRUE,N/A,0
104.21.23.68,443,TRUE,N/A,0
104.24.54.238,443,TRUE,N/A,0
104.21.63.69,443,TRUE,N/A,0
172.67.172.214,443,TRUE,N/A,0
104.21.92.79,443,TRUE,N/A,0
104.21.239.229,443,TRUE,N/A,0
104.27.124.214,443,TRUE,N/A,0
172.65.108.6,443,TRUE,N/A,0
172.67.171.185,443,TRUE,N/A,0
104.21.93.84,443,TRUE,N/A,0
104.21.237.218,443,TRUE,N/A,0
172.67.252.33,443,TRUE,N/A,0
172.65.83.29,443,TRUE,N/A,0
172.67.100.115,443,TRUE,N/A,0
172.65.122.134,443,TRUE,N/A,0
172.65.1.181,443,TRUE,N/A,0
104.27.52.74,443,TRUE,N/A,0
172.65.103.131,443,TRUE,N/A,0
104.21.94.68,443,TRUE,N/A,0
104.27.6.232,443,TRUE,N/A,0
104.24.33.230,443,TRUE,N/A,0
104.24.55.137,443,TRUE,N/A,0
172.67.251.169,443,TRUE,N/A,0
172.65.239.211,443,TRUE,N/A,0
172.67.232.118,443,TRUE,N/A,0
172.64.84.135,443,TRUE,N/A,0
172.65.153.157,443,TRUE,N/A,0
172.65.142.61,443,TRUE,N/A,0
104.21.81.210,443,TRUE,N/A,0
172.65.92.148,443,TRUE,N/A,0
104.21.224.139,443,TRUE,N/A,0
172.65.230.195,443,TRUE,N/A,0
172.65.68.24,443,TRUE,N/A,0
172.65.240.218,443,TRUE,N/A,0
104.24.35.48,443,TRUE,N/A,0
172.65.14.76,443,TRUE,N/A,0
172.65.111.226,443,TRUE,N/A,0
162.159.142.154,443,TRUE,N/A,0
162.159.93.141,443,TRUE,N/A,0
104.21.62.202,443,TRUE,N/A,0
104.21.55.32,443,TRUE,N/A,0
172.67.240.217,443,TRUE,N/A,0
104.27.30.62,443,TRUE,N/A,0
172.67.169.173,443,TRUE,N/A,0
104.21.37.136,443,TRUE,N/A,0
172.67.246.224,443,TRUE,N/A,0
172.65.161.68,443,TRUE,N/A,0
104.27.26.11,443,TRUE,N/A,0
172.67.182.97,443,TRUE,N/A,0
172.65.194.157,443,TRUE,N/A,0
172.65.163.237,443,TRUE,N/A,0
104.27.10.115,443,TRUE,N/A,0
104.21.40.42,443,TRUE,N/A,0
104.21.201.89,443,TRUE,N/A,0
104.27.91.83,443,TRUE,N/A,0
162.159.159.225,443,TRUE,N/A,0
104.27.84.7,443,TRUE,N/A,0
172.67.231.95,443,TRUE,N/A,0
172.66.204.41,443,TRUE,N/A,0
104.21.9.147,443,TRUE,N/A,0
172.64.144.22,443,TRUE,N/A,0
172.66.207.49,443,TRUE,N/A,0
172.65.46.95,443,TRUE,N/A,0
104.21.39.35,443,TRUE,N/A,0
104.24.31.11,443,TRUE,N/A,0
172.65.231.22,443,TRUE,N/A,0
172.67.236.34,443,TRUE,N/A,0
162.159.145.39,443,TRUE,N/A,0
172.67.104.3,443,TRUE,N/A,0
104.24.37.46,443,TRUE,N/A,0
104.27.105.130,443,TRUE,N/A,0
172.67.253.219,443,TRUE,N/A,0
172.65.164.171,443,TRUE,N/A,0
104.27.203.187,443,TRUE,N/A,0
104.27.44.29,443,TRUE,N/A,0
104.21.59.16,443,TRUE,N/A,0
172.65.175.212,443,TRUE,N/A,0
104.24.56.146,443,TRUE,N/A,0
172.67.165.167,443,TRUE,N/A,0
172.67.238.216,443,TRUE,N/A,0
172.67.168.134,443,TRUE,N/A,0
162.159.140.116,443,TRUE,N/A,0
172.65.169.195,443,TRUE,N/A,0
104.27.54.23,443,TRUE,N/A,0
104.21.238.127,443,TRUE,N/A,0
104.21.115.181,443,TRUE,N/A,0
162.159.157.19,443,TRUE,N/A,0
104.24.38.47,443,TRUE,N/A,0
172.65.168.121,443,TRUE,N/A,0
104.27.112.237,443,TRUE,N/A,0
172.65.28.52,443,TRUE,N/A,0
104.21.236.197,443,TRUE,N/A,0
104.21.233.135,443,TRUE,N/A,0
172.64.235.12,443,TRUE,N/A,0
172.65.144.89,443,TRUE,N/A,0
172.67.183.47,443,TRUE,N/A,0
104.27.198.213,443,TRUE,N/A,0
172.65.15.19,443,TRUE,N/A,0
172.65.149.248,443,TRUE,N/A,0
172.65.235.48,443,TRUE,N/A,0
172.67.162.147,443,TRUE,N/A,0
172.65.199.125,443,TRUE,N/A,0
104.21.21.240,443,TRUE,N/A,0
104.21.60.110,443,TRUE,N/A,0
162.159.38.25,443,TRUE,N/A,0
172.65.180.140,443,TRUE,N/A,0
172.65.154.18,443,TRUE,N/A,0
104.21.85.45,443,TRUE,N/A,0
162.159.44.142,443,TRUE,N/A,0
172.67.124.11,443,TRUE,N/A,0
172.65.25.85,443,TRUE,N/A,0
172.65.159.228,443,TRUE,N/A,0
172.67.167.145,443,TRUE,N/A,0
172.65.166.179,443,TRUE,N/A,0
104.27.75.107,443,TRUE,N/A,0
162.159.155.76,443,TRUE,N/A,0
104.21.53.61,443,TRUE,N/A,0
172.64.233.10,443,TRUE,N/A,0
104.21.58.42,443,TRUE,N/A,0
104.27.76.132,443,TRUE,N/A,0
104.21.51.49,443,TRUE,N/A,0
104.24.63.2,443,TRUE,N/A,0
104.21.74.244,443,TRUE,N/A,0
104.27.35.66,443,TRUE,N/A,0
104.27.29.113,443,TRUE,N/A,0
172.64.47.239,443,TRUE,N/A,0
172.65.160.150,443,TRUE,N/A,0
172.67.160.97,443,TRUE,N/A,0
104.24.75.34,443,TRUE,N/A,0
104.27.206.48,443,TRUE,N/A,0
172.65.238.163,443,TRUE,N/A,0
172.65.250.195,443,TRUE,N/A,0
104.24.90.164,443,TRUE,N/A,0
104.21.12.226,443,TRUE,N/A,0
104.21.76.37,443,TRUE,N/A,0
172.64.52.23,443,TRUE,N/A,0
162.159.133.175,443,TRUE,N/A,0
172.65.244.158,443,TRUE,N/A,0
104.21.100.115,443,TRUE,N/A,0
104.24.67.127,443,TRUE,N/A,0
172.66.153.206,443,TRUE,N/A,0
172.67.175.92,443,TRUE,N/A,0
104.21.87.197,443,TRUE,N/A,0
172.67.163.56,443,TRUE,N/A,0
172.64.83.221,443,TRUE,N/A,0
172.65.57.238,443,TRUE,N/A,0
172.67.64.116,443,TRUE,N/A,0
104.27.7.31,443,TRUE,N/A,0
172.65.41.177,443,TRUE,N/A,0
172.67.161.99,443,TRUE,N/A,0
104.21.80.85,443,TRUE,N/A,0
172.65.97.173,443,TRUE,N/A,0
172.67.121.144,443,TRUE,N/A,0
104.27.77.140,443,TRUE,N/A,0
104.21.200.179,443,TRUE,N/A,0
162.159.35.147,443,TRUE,N/A,0
104.24.68.209,443,TRUE,N/A,0
172.67.91.231,443,TRUE,N/A,0
104.21.82.109,443,TRUE,N/A,0
172.67.166.80,443,TRUE,N/A,0
172.67.254.104,443,TRUE,N/A,0
162.159.150.72,443,TRUE,N/A,0
104.25.150.218,443,TRUE,N/A,0
104.27.41.151,443,TRUE,N/A,0
172.64.77.23,443,TRUE,N/A,0
